id,job-query,title,company,location,description
4018,database administrator,Database Administrator,"Latham Pool Products, Inc.","Latham, New York 12110",
4019,database administrator,Principal Systems Engineer (Database Administrator),"Savannah River Nuclear Solutions, LLC","AIKEN, South Carolina 29802",
4020,database administrator,Senior SQL Database Administrator,"Quicken Loans, LLC","Detroit, Michigan 48226","The Senior SQL Database Administrator is responsible for building database systems that are high-quality, scalable and high performance to meet the demands of our rapidly growing and ever-changing environment. This team member uses repeatable practices to ensure data availability, integrity and security, and they interact with developers, business analysts, network and SAN engineers, and other teams involved in project planning, development and testing.
We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.
If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.
This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group."
4021,database administrator,SQL Database Administrator,Interactive Business Systems,"Madison, Wisconsin","Interactive Business Systems is teaming up with a Madison, WI area client to locate to bring on a SQL Database Administrator for a long-term contract!
The successful candidate will:
Qualification Rating Must Have Information Technology –
Database Design Database Tuning and Maintenance to assure highest level of system availability and performance and 5 years Information Technology - Databases Data Flow & Structure Modeling and 5 years Entity relationships and 5 years’ Experience in Data Conversion projects and 5 years Knowledge of Oracle database management systems principles, techniques and capabilities. 5 years MS SQL Server and 5 years SQL server database administration expertise 5 years Stored procedures and triggers and 5 years Information Technology - Data Warehouse Experience with ETL tools or an equivalent combination of training and/or experience with other data and 5 years Nice to Have Information Technology - Databases Oracle 11g and 0 years Oracle 12c and 0 years
Interested candidates should send a resume and brief cover note to the attention of Chris Douglas at Interactive Business Systems (
)
IBS offers a competitive salary and comprehensive benefits package to all employees. Referral and sign-on bonuses may also be available.
 IBS, Interactive Business Systems, Inc., is an IT solutions and staffing company known for achieving business objectives and bottom-line results through the smart architecting, implementation and management of technology. In three decades of developing the technology applications, tools, environments and teams that foster top business performance, we have become an industry-leading IT services provider."
4022,database administrator,Database Administrator,Duetix Designs LLC,"Peterson AFB, Colorado 80914",
4023,database administrator,Database Administrator,Alaka`ina Foundation Family of Companies,"Honolulu, Hawaii",
4024,database administrator,Senior Database Administrator/Developer,Kratos Defense & Security Solutions,"Huntsville, Alabama","Kratos is a fast paced, entrepreneurial environment that is team oriented and relationship driven to foster innovation and creativity. Our motto, ""From Strength to Success,"" reflects our commitment to continually leveraging our technical and intellectual strengths for the ultimate success of our customers.
Kratos Defense & Rocket Support Services Inc. division provides a full spectrum of solutions for complex C5ISR, engineering and operational requirements, and military weapon systems. We have years of experience in logistics, engineering, and target operations support, as well as international programs, rocket program services, technology initiatives, and advanced weapon system research and engineering.
Our in-depth understanding of our client missions, in conjunction with the strategic location of our employees, enables us to offer cost effective solutions tailored to our clients' specific requirements and consistent with their evolving mission objectives.
The Senior Database Administrator (DBA) is responsible for Supply Analysis and Logistics Information Systems. The DBA will support the Product Support Manager and Fleet Sustainment Chief by performing multiple product oversight within Sustainment Logistics Automation systems. DBA will work with internal and external users to provide reporting, training, and issue resolution.
• Will establish reports for the government departmental heads, management, and key stakeholders.
• These reports have to be clear, convincing, informative, engaging, unambiguous, and uniquely tailored to suit different audiences.
• A definite responsibility for designing/implementing information system changes, logistics coding structures, and designing/running/analyzing reports to ensure uninterrupted flow of parts through the Supply chain.
• Establishes internal guidance, reports, roles, and procedures to maintain data accuracy across information systems.
• Set standards, training, and audits to ensure users are assigned appropriate roles and expertise within the automated logistics systems to accomplish their assigned Supply/Logistics functions, while limiting access to key transactions that would create conflicts of interest and/or program risk.
• Provides Subject Matter Expertise to working groups to establish plans to correct data and process issues impacting multiple platforms
• Setup and test databases in development environment
• Responsible for writing interface agreements between organization and outside agencies to ensure automated requisition flow, returns, Modification Work Orders (MWOs), and other supply related functions
• Development and enforcement of Performance Based Logistics (PBL) maintenance related policies, procedures, and regulations
• Makes formal and informal presentations to all management levels, outlining the history, current status, and objectives of the logistics information systems and related functions
• Responsible for ensuring data quality related to Material/Parts masters in multiple logistics systems
• Other duties as assigned
• US citizenship is required
• Possess 5+ years of Structured Query Language (SQL) and administrative/server maintenance experience in automated supply systems
• Demonstrative experience working in report creation, modeling, and trend forecasting
• Must be able to create, troubleshoot, and enhance the business’s data loadings
• Possess a clear understanding of key IT business systems, reporting/analytics, and data warehousing
• Excellent written and verbal communication skills
• Maintain sensitive and confidential information as required by government standards
• Interact effectively and professionally with peers and supervisors and the public when necessary
• Operate independently with minimal supervision
• Experience working in a DOD field
• Experience working with COLTS, DPAS, GFEBS, LMP, AESIP, or GCSS-ARMY (Supply Chain Management Systems)
• Strong working knowledge of reporting tools such as Oracle Business Intelligence, Tableau, SSRS, or any similar tools
• Information Assurance Technology (IAT) Level 2 certification
• Bachelor of Science in Computer Science, Logistics, or a related field
• 17 years of related experience with a Bachelor's degree, 14 years of experience with a Master's degree, and 12 years of experience with a PhD
• Comp TIA (Security Plus and 70-680 Microsoft Certificate) can be substituted for CISSP, GSEC, CISSP, CASP+, GICSP, GCIH, GCED, or CISA within 90 days of starting"
4025,database administrator,Database Administrator,Draftkings Inc,"Boston, Massachusetts 02210","Dtbse Admin - Boston, MA: DraftKings, Inc. Resp: Cnfgr SQL Srvr & Spprt dplymnt, mntnce, & mntrng of Cmpny's dtbse enviros. Req: BA in Eng Mngmnt; Req: 5 yrs exp wrkng w/ SQL Trces to prfrm dbggng of code usng SQL Prflr & tunng expnsv SQL quer for bttr dtbse pfrmnc. 1 yr exp fclttng data migrtn for SQL srvr to Amzn web srvcs cld. 1 yr exp frmltng dtbse rcvry strat w/ Alwys On tech. 1 yr exp wrtng code for data eng, usng actvt mntr & DMVS to mntr quer & othr actvt on srvr w/ Solrwnds & DataDg; Telecmmtng perm. Email resumes to mdeiana@draftkings.com."
4026,database administrator,SQL Database Administrator,Bravura Inc.,"Shaw A F B, South Carolina 29152",
4027,database administrator,Lead Database Administrator MS SQL,Honeywell,"Tempe, Arizona","Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status."
4028,database administrator,Database Administrator,ABBTECH Professional Resources,"Brooklyn, New York 11201","TASKS AND DUTIES:
? Manages data requirements gathering and analysis for new and existing projects.
? Supports Microsoft SQL Server 2012/2014/2016 databases across all environments.
? Supports Microsoft SQL Server 2012/2014/2016 replication feature widely used by different applications.
? Supports Microsoft Windows 2012 and 2016 Enterprise Servers including configuration and maintenance.
? Implements and supports Microsoft Clustering Services both on the SQL Server and System levels.
? Installs and configures Microsoft SQL Server 2012/2014/2016 and Microsoft Windows 2012 and 2016 servers.
? Monitors Microsoft SQL Server activity on a proactive basis and tune the system for optimal performance.
? Creates, designs, manages and troubleshoots SSIS packages.
? Monitors and troubleshoots ETL jobs daily using BCP, DTSRUN, SSIS and other Performance Monitoring tools.
? Maintains error and system maintenance logs.
? Performs OLAP and OLTP Data modeling with the ERWIN data modeling tool.
? Supports Operational data model and data mapping.
? Supports the development and maintenance of DOE application data dictionary.
? Manages and supports DB2 relational system and troubleshoot issues on the DB2 System.
? Administers DB2 Connect, DB2 Gateway in different ETL set up.
? Investigates, analyzes and troubleshoots system performance and suggest/implement tuning as needed.
? Develop system tools and utilities (i.e. scripts, etc.) to simplify and support IT and business operations.
? Plan, implement and manage systems initiatives with IT and customer teams.
? Designs database tables utilizing import or export data from SQL Servers into other data sources on a daily basis through the development and coding of stored procedures and triggers, as needed.
? Establishes documents and maintains technical standards and server security policies.
? Patches servers, both software and firmware, on a scheduled basis as well as urgent security releases.
? Conducts performance monitoring, capacity planning, trend forecasting.
? Documents and improves upon processes, procedures, and best practices to align with industry standards and customer needs.
? Configures and optimizes Database System Configuration and Database Availability Reporting.
? Documents and improves upon processes, procedures, and best practices to align with industry standards and customer needs.
? Designs and implements database disaster recovery requirements to ensure business continuity requirements are met.
? Provides a high-level of customer satisfaction to internal and external customers, applying necessary sense of urgency and creativity in problem identification and prompt incident resolution.
? Provides advanced systems administration and support capability.
? Analyzes system performance; suggests and implements tuning as needed.
? Installs additional OpenSource and commercial software products as needed to develop, deploy, and support the platform.
Project Specific Technical Requirements: 
Proficiency in preparing, maintaining SQL server installation and configuration documents.
9+ years of experience in the following:
Query optimization experience with modification in TSQL queries, removing unnecessary columns, eliminating redundant and inconsistent data, normalizing database, establishing necessary joins, creating useful clustered index and non-clustered indexes.
8+ years of experience in the following: 
? Database Normalization, logical and physical modelling, capturing data lineage, table and column data definitions, valid values and others necessary information in the data models.
? Enforcing standards and best practices around data modelling efforts.
? SQL Server installation of SQL Server and updating with service packs and patches.
? SQL Server setup and configuration on Windows Servers and Linux.
? Installing and configuring SQL Server 2014/2016/2019 on the server and client machines, provide connections and manage databases.
? SQL Server installation on stand-alone and Windows Server Clustered environments.
? Administering the MS SQL Server security by creating user logins with appropriate roles, dropping and locking the logins, monitoring the user accounts, creation of groups, granting the privileges to users and groups.
? Installing and configuring MYSQL databases.
? Installing, authoring, and managing reports using SQL Server 2016 Reporting Services.
? Performing daily database tasks including backup and restore by using SQL Server native tools and third party software, including VERITAS net backups and Lite speed backups.
? Developing automated routine tasks for backup, restore and DBCC scripts for databases maintenance, optimization and transaction logs.
? Performing backup and data compression using different editions of SQL Server.
? Administering and monitoring MYSQL databases.
? Planning, gathering the pre-deployment information and deployment of the third party tools like IDERA SQL Diagnostic, Dynatrace AppMon, and Quest Foglight etc.
? Backup and recovery implementation Strategy for 24x7 operation support.
? Designing and implementing enterprise data warehouse solutions.
? Developing ETL Scripts to enable data processing into data warehouse.
? Working on developing robust data warehouse dictionary.
? Designing cubes in SSAS environment using Snowflake and Star Schemas.
? Configuring Report manager, PowerBI Servers, implementing role-based security to end users and developing report models for creating Ad-hoc reports using SSRS.
? Tuning queries and databases for better performance.
? Creating and maintaining Database Maintenance Plans.
? Performing SQL Server maintenance tasks including Database Integrity checks, update database Statistics and Re-indexing.
? Configuring data partitioning/table partitioning on huge tables containing millions of rows for better performance.
? Creating database objects including Stored Procedures, Triggers, Views and Functions for the application using T-SQL.
? Performance tuning experience, modification of Complex Stored procedures to improve efficiency of the system.
? Supporting day to day operational activities for the database platform like service requests and tickets, monitoring, performance tuning, troubleshooting long running queries, locks, deadlocks and performance issue like CPU, I/O, Memory bottlenecks, Backup and Restore, SQL jobs.
5+ years of experience in the following:
Strong PowerShell experience for developing routine daily maintenance tasks.
ABBTECH is an EOE/Minorities/Women/Disabled Individuals/Veterans"
4029,database administrator,"Remote: PT Fundraising Database Administrator, non-profit","Beacon Hill Staffing Group, LLC","Manhattan, New York","Non-Profit in Midtown, Manhattan is looking to hire a PT Temporary Fundraising Database Administrator. The person in this role will work remotely from home. They are looking for someone who can work 8hrs per day 3 days per week. This role reports to the Director of Major Gifts and day to day the candidate in this position will be responsible for maintaining the integrity of the clients donor and prospect database (Raiser's Edge); working cross-functionally, you will perform data input, maintenance, cleansing and reporting. Specific responsibilities include: processing checks, online gifts, phone and in-person donations in a timely fashion, generating timely (24-48 hours) acknowledgement letters and tax receipts for all donations, generating mailing lists as needed, creating and running reports for reconciliation with finance department, CEO and development team, creating reports for Development and Finance teams and senior leadership to track progress against goals, coordinate with Blackbaud as needed to troubleshoot Raiser's Edge. In order to be considered you must have experience working in a Non-profit, fundraising Database management, and an expertise in Raisers Edge (prefer newest version NXT) and great Excel skills.
Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.
Company Profile:
Founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement.
Our niche brands provide direct hire, executive search, temporary staffing, contract consulting and temp/contract-to-hire solutions to emerging growth companies and the Fortune 500 across market sectors, career specialties/disciplines and industries.  Over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs.
Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Pharma and Beacon Hill Technologies by visiting 
. 
We look forward to working with you.
Beacon Hill. Employing the Future (TM)"
4031,database administrator,SQL DBA / Developer,Nanavati Consulting Inc,"Aberdeen, Maryland 21001","Ready to make the next jump? Are you underpaid or simply under appreciated? We have an opportunity that will provide you:
We are seeking several candidates to serve as Data Modeler/Database Administrator who will have overall technical responsibility for data warehouse design and development of conceptual, logical and physical models, ETL load scripts and SQL and performance tuning of the production data warehouse. This warehouse is expected to grow larger than 5 PBs and accessed by users across the country having diverse functional backgrounds and analysis needs.
Specific job duties include:
A qualified candidate must be able to:
Requirements
Job Types: Full-time, Contract"
4032,database administrator,Senior Database Administrator,ePlus inc.,"Richmond, Virginia 23238","is currently seeking a 
for our client in
 
****ePlus inc. is an equal opportunity employer and does not discriminate or allow discrimination on the basis of race, color, religion, gender, age, national origin, citizenship, disability, veteran status or any other classification protected by federal, state, or local law. ePlus inc. promotes affirmative action for minorities, women, disabled persons, and veterans****"
4033,database administrator,"Database Administrator, SQL Server, MySQL","DP Search Associates, Inc","Melville, New York 11747","No Consulting firms.
No sponsorship available.
Must live within a commutable distance of Long Island, NY to be considered.
Database Administrator:
This DBA position will be responsible for administering, installing, configuring and fine tuning a SQL environment consisting of both MySQL and MS SQL. This individual will be working closely with System Administrators as well as the Development group to ensure database security, performance and replication/clustering are running optimally.
Main Responsibilities:
? Monitor server health (storage and performance) and database jobs
? Tune database to maximize performance
? Work with development group to fine tune SQL queries.
? Run diagnostics to identify performance bottlenecks and take corrective actions to alleviate them.
? Manage backup/recovery for MySQL instances and provide Disaster Recovery support.
? Maintain existing SQL environments, including replication environments and high availability environments.
? Write database documentation, including data standards and procedures.
Work Experience:
? MySQL and MS SQL experience.
? Ubuntu Linux and Microsoft Windows Server experience.
? Experience with Microsoft Clustering and MySQL replication to remote subnets.
? Experience with Docker and ZFS preferable.
We offer
? Competitive Salary
? Medical, Dental, and Vision insurance
? Health Savings Account
? Flexible Spending Accounts (medical and dependent care)
? Company paid Life, AD&D, and LTD insurance
? Aflac
? 401(k) participation
? Paid time off benefits
? Great work environment"
4034,database administrator,Market Researcher,"Peterson Technology Partners, Inc.","Mumbai, MA","We are seeking a qualified, self-sufficient, and thorough researcher for immediate hire. Using extensive research methodologies, you will perform detailed research in your assigned field, analyze the gathered data, and present your findings. You will play a vital role in sourcing and extracting valuable market information to benefit our organization.
 has been Chicago's premier Information Technology (IT) staffing, consulting, and recruiting firm for over 22+ years. Named after Chicago's historic Peterson Avenue, PTP has built its reputation by developing lasting relationships, leading digital transformation, and inspiring technical innovation throughout Chicagoland.
Based in Park Ridge, IL, PTP's 250+ employees have a narrow focus on a single market (Chicago) and expertise in 4 innovative technical areas;
 
Artificial Intelligence/Machine Learning/Data Science
Robotics/Robotic Process Automation (RPA)
Cyber/Data/Information Security
DevOps/DevSecOps
 
 exists to ensure that all of our partners (clients and candidates alike) make the best hiring and career decisions.
 
 | 
 | 
 | 
 | 
 | 
 | 
 | 
| 
| 
| 
 | 
 | 
 | 
 |"
4035,database administrator,Lead SQL DBA,Apex Systems,"Falls Church, Virginia 22042","Responsibilities:
• Lead team of DBAs in maintaining operations and optimal performance of large SQL Server farm
• Identify system shortcomings and work with leadership to identify and plan for appropriate solutions
• Monitor database performance for integrity, quality, and security.
• Implement performance tuning including updating statistics, reindexing, structure modifications, capacity planning, and index analysis.
• Implement database backup and recovery procedures, including disaster recovery procedures.
• Perform upgrades, conversions, integrations, migrations, document/database imports/exports, and application integration projects related to the firm’s DMS system.
• Perform database administration tasks including setup and monitoring of error logs, backups, maintenance routines, and database optimization.
• Perform automation tasks, applying service packs, and cumulative updates.
• Advanced support of related systems including Knowledge Management Systems, and Full Text Indexing / Searching systems.
• Create and manage SQL scripts, SSIS packages, SSRS reports, stored procedures, spreadsheets, charts and diagrams.
• Provide technical training and knowledgebase articles for Application Analysts, Support personnel, System Administrators, and others.
• Work on various projects related to evaluating, testing, and deployment of new software systems/technology.
• Provide technical assistance to users and others in the Information Technology Department.
• Monitor and act on escalated issues.  Monitor and work on problem tickets and requests for relevant application and system areas.  This includes timely acknowledgement of tickets / requests -- providing a high level of responsiveness and Customer Service.
Requirements
• Bachelor’s Degree in Computer Science or related field
• 5+ years of progressive responsibility in large corporate environments.
• 5+ years of experience installation SQL Server in data center environments.
• 5+ years of experience with performance tuning, SQL server administration, and day-to-day operations.
• 5+ years of experience providing third-level support in relation to management of large SQL Server environments.
• 5+ years of experience in troubleshooting, analyzing, and fixing problems related to SQL servers, SQL databases, SQL process/jobs and SQL based applications/systems.
• 5+ years of experience with SQL Syntax, T-SQL scripts, and SSIS / SSRS.
• 2+ years of experience working in AWS Cloud
• Security+ certification
EEO Employer
Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 
 or 844-463-6178."
4036,database administrator,Sr. Database Administrator,Assyst Advanced Software Systems Inc,"Washington, District of Columbia 20002",
4037,database administrator,SQL DBA,Kollasoft,"Jersey City, New Jersey",
4038,database administrator,SQL-PostgreSQL DBA,Fidelity TalentSource,"Durham, North Carolina 27709","Fidelity TalentSource is your destination for discovering your next temporary role at Fidelity Investments. We are currently sourcing for an SQL-PostgreSQL DBA to work in Fidelity’s Workplace Investing Group in Durham, NC. 
 As of a Key member of the database services, this candidate is encouraged
 At Fidelity, we are passionate about making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and cultivating a work environment that attracts the best talent and reflects our dedication to our associates. We are proud of our 
expansive work environment where we 
 our associate for their unique perspectives and experiences. For information about working at Fidelity, visit FTSJobs.com.
Fidelity Investments is an equal opportunity employer.
Fidelity TalentSource, formerly Veritude, is the in-house temporary staffing provider for Fidelity Investments, one of the largest and most diversified global financial services firms in the industry. We recruit individuals from a variety of backgrounds, including technology and customer service, to fill assignments across Fidelity’s U.S.-based regional and investor center locations. If you would like to experience Fidelity’s diverse and inclusive workplace while expanding your skill set and developing your professional network, consider a role with Fidelity TalentSource. For information about working at Fidelity TalentSource, visit 
.
At Fidelity, we are focused on making our financial expertise broadly accessible and effective in helping people live the lives they want. We are a privately held company that places a high degree of value in creating and nurturing a work environment that attracts the best talent and reflects our commitment to our associates. We are proud of our diverse and inclusive workplace where we respect and value our associates for their unique perspectives and experiences. For information about working at Fidelity, visit 
.
Fidelity Investments and Fidelity TalentSource are equal opportunity employers.
?"
